id,danceability,energy,key,loudness,acousticness,valence,tempo,cluster
4VQNCzfZ3MdHEwwErNXpBo,0.872,0.723,1,-5.968,0.0293,0.843,93.279,30
19FsxX4RthRMZGfXkImdCb,0.704,0.873,11,-4.057,0.121,0.742,154.914,34
6CN3e26iQSj1N5lomh0mfO,0.52,0.768,8,-3.489,0.0193,0.398,79.178,36
1FK0sZfZzCAIDUn7htCemp,0.632,0.786,9,-5.596,0.0415,0.699,94.499,59
5g9lS8deSIxItFBmZRC4vN,0.801,0.91,2,-6.566,0.00239,0.805,87.277,15
4Z69sHFf60gZbdgdd9sBBq,0.483,0.644,1,-6.605,0.37,0.532,87.937,54
4xh98RD1TjVR4nHa47iH72,0.816,0.849,11,-4.41,0.0811,0.844,94.007,28
2mKouqwAIdQnMP43zxR89r,0.835,0.707,8,-5.074,0.0219,0.919,93.955,28
7eF7tMtetxreNLpfq3J93B,0.512,0.801,9,-4.116,0.147,0.627,105.438,59
5D2mYZuzcgjpchVY1pmTPh,0.614,0.574,11,-7.961,0.0253,0.755,125.173,24
4hrae8atte6cRlSC9a7VCO,0.839,0.706,5,-6.104,0.208,0.839,96.673,28
3CpoeW0cZSDzIRv5z34F87,0.668,0.824,5,-4.164,0.0017,0.185,163.961,50
2g8HN35AnVGIk7B8yMucww,0.78,0.575,9,-7.247,0.43,0.773,84.492,42
4LwU4Vp6od3Sb08CsP99GC,0.922,0.909,10,-2.429,0.0281,0.309,95.295,24
7iXF2W9vKmDoGAhlHdpyIa,0.924,0.74,8,-1.299,0.0827,0.621,133.974,20
0fLILzjVXRCLC0lsNKcQ8I,0.677,0.698,3,-5.793,0.0935,0.83,78.443,15
1ofhfV90EnYhEr7Un2fWiv,0.865,0.665,7,-6.289,0.0453,0.331,111.113,20
5dL5jv5GSCRoDhTtnY8maL,0.769,0.646,1,-6.653,0.0566,0.433,90.079,29
1YQ7BbJR8HqAolfprvxGKu,0.904,0.826,1,-2.372,0.0531,0.824,101.35,15
2S2x5N5VJNn7vqYukvoFFC,0.762,0.838,8,-3.701,0.033,0.73,92.482,59
5DD9jE8Z3LvpVn2TxknJyX,0.554,0.899,8,-4.573,0.0521,0.552,171.966,21
2TgPHDU8zPgAvkSLXkHKXR,0.484,0.711,1,-4.584,0.142,0.46,90.961,54
0LyZGZEZcFqpeF8bAfx3v0,0.777,0.751,1,-5.692,0.245,0.191,177.894,41
6RUpJeXT6U4SPEafnr9Wr7,0.537,0.948,8,-3.063,0.151,0.792,186.151,21
1zzxoZVylsna2BQB65Ppcb,0.761,0.899,10,-3.09,0.0135,0.673,95.027,59
